State Label,State Code,District,Name,Chamber,Party,GEOID
California,6,6,"Matsui, Doris O.",Representative,Democratic,606
Connecticut,9,0,"Murphy, Christopher S.",Senator,Democratic,900
Connecticut,9,5,"Esty, Elizabeth H.",Representative,Democratic,905
Florida,12,6,"DeSantis, Ron",Representative,Republican,1206
Florida,12,13,"Crist, Charlie",Representative,Democratic,1213
Idaho,16,0,"Crapo, Mike",Senator,Republican,1600
Illinois,17,12,"Bost, Mike",Representative,Republican,1712
Illinois,17,14,"Hultgren, Randy",Representative,Republican,1714
Massachusetts,25,4,"Kennedy, Joseph P., III",Representative,Democratic,2504
Michigan,26,3,"Amash, Justin",Representative,Republican,2603
Montana,30,0,"Daines, Steve",Senator,Republican,3000
Nevada,32,1,"Titus, Dina",Representative,Democratic,3201
New York,36,10,"Nadler, Jerrold",Representative,Democratic,3610
Pennsylvania,42,15,"Dent, Charles W.",Representative,Republican,4215
Pennsylvania,42,12,"Rothfus, Keith J.",Representative,Republican,4212
Rhode Island,44,0,"Whitehouse, Sheldon",Senator,Democratic,4400
Texas,48,12,"Granger, Kay",Representative,Republican,4812
Arkansas,5,2,"Hill, J. French",Representative,Republican,502
California,6,24,"Carbajal, Salud",Representative,Democratic,624
California,6,22,"Nunes, Devin",Representative,Republican,622
Florida,12,21,"Frankel, Lois",Representative,Democratic,1221
Florida,12,3,"Yoho, Ted S.",Representative,Republican,1203
Georgia,13,10,"Hice, Jody B.",Representative,Republican,1310
Maryland,24,4,"Brown, Anthony",Representative,Democratic,2404
Nevada,32,0,"Masto, Catherine Cortez",Senator,Democratic,3200
New Jersey,34,8,"Sires, Albio",Representative,Democratic,3408
New Jersey,34,9,"Pascrell, Bill, Jr.",Representative,Democratic,3409
North Carolina,37,0,"Tillis, Thom",Senator,Republican,3700
Ohio,39,1,"Chabot, Steve",Representative,Republican,3901
Texas,48,13,"Thornberry, Mac",Representative,Republican,4813
Texas,48,19,"Arrington, Jodey",Representative,Republican,4819
West Virginia,54,2,"Mooney, Alexander X.",Representative,Republican,5402
Wisconsin,55,6,"Grothman, Glenn",Representative,Republican,5506
Wisconsin,55,1,"Ryan, Paul",Representative,Republican,5501
California,6,36,"Ruiz, Raul",Representative,Democratic,636
California,6,15,"Swalwell, Eric",Representative,Democratic,615
California,6,45,"Walters, Mimi",Representative,Republican,645
California,6,50,"Hunter, Duncan D.",Representative,Republican,650
Idaho,16,1,"Labrador, Raul R.",Representative,Republican,1601
Kentucky,21,2,"Guthrie, Brett",Representative,Republican,2102
Kentucky,21,1,"Comer, James",Representative,Republican,2101
Minnesota,27,0,"Klobuchar, Amy",Senator,Democratic,2700
Minnesota,27,8,"Nolan, Richard M.",Representative,Democratic,2708
Nebraska,31,0,"Sasse, Ben",Senator,Republican,3100
New York,36,18,"Maloney, Sean Patrick",Representative,Democratic,3618
North Carolina,37,3,"Jones, Walter B., Jr.",Representative,Republican,3703
North Carolina,37,10,"McHenry, Patrick T.",Representative,Republican,3710
Pennsylvania,42,11,"Barletta, Lou",Representative,Republican,4211
South Dakota,46,0,"Rounds, Mike",Senator,Republican,4600
Wisconsin,55,2,"Pocan, Mark",Representative,Democratic,5502
Alabama,1,2,"Roby, Martha",Representative,Republican,102
Arizona,4,7,"Gallego, Ruben",Representative,Democratic,407
California,6,8,"Cook, Paul",Representative,Republican,608
Colorado,8,0,"Bennet, Michael F.",Senator,Democratic,800
Colorado,8,3,"Tipton, Scott  R.",Representative,Republican,803
Delaware,10,0,"Coons, Christopher A.",Senator,Democratic,1000
Florida,12,7,"Murphy, Stephanie",Representative,Democratic,1207
Georgia,13,11,"Loudermilk, Barry",Representative,Republican,1311
Georgia,13,4,"Johnson, Henry C. &#34;Hank,&#34; Jr.",Representative,Democratic,1304
Guam,66,0,"Bordallo, Madeleine Z.",Representative,Democratic,6600
Illinois,17,13,"Davis, Rodney",Representative,Republican,1713
Kentucky,21,6,"Barr, Andy",Representative,Republican,2106
Michigan,26,8,"Bishop, Mike",Representative,Republican,2608
Mississippi,28,1,"Nunnelee, Alan",Representative,Republican,2801
Nevada,32,4,"Kihuen, Ruben",Representative,Democratic,3204
New Jersey,34,12,"Watson Coleman, Bonnie",Representative,Democratic,3412
New York,36,27,"Collins, Chris",Representative,Republican,3627
Ohio,39,8,"Davidson, Warren",Representative,Republican,3908
Pennsylvania,42,10,"Marino, Tom",Representative,Republican,4210
Pennsylvania,42,16,"Smucker, Lloyd",Representative,Republican,4216
South Dakota,46,0,"Noem, Kristi L.",Representative,Republican,4600
Arizona,4,6,"Schweikert, David",Representative,Republican,406
Arizona,4,8,"Franks, Trent",Representative,Republican,408
Georgia,13,5,"Lewis, John",Representative,Democratic,1305
Illinois,17,10,"Schneider, Brad",Representative,Democratic,1710
Indiana,18,6,"Messer, Luke",Representative,Republican,1806
Maryland,24,7,"Cummings, Elijah E.",Representative,Democratic,2407
Missouri,29,3,"Luetkemeyer, Blaine",Representative,Republican,2903
Montana,30,0,"Tester, Jon",Senator,Democratic,3000
Nevada,32,0,"Heller, Dean",Senator,Republican,3200
New York,36,6,"Meng, Grace",Representative,Democratic,3606
Puerto Rico,72,0,"Pierluisi, Pedro R.",Representative,Democratic,7200
Tennessee,47,0,"Alexander, Lamar",Senator,Republican,4700
Texas,48,25,"Williams, Roger",Representative,Republican,4825
Texas,48,33,"Veasey, Marc A.",Representative,Democratic,4833
Virginia,51,2,"Taylor, Scott",Representative,Republican,5102
Washington,53,7,"Jayapal, Pramila",Representative,Democratic,5307
Alabama,1,5,"Brooks, Mo",Representative,Republican,105
Arizona,4,9,"Sinema, Kyrsten",Representative,Democratic,409
California,6,14,"Speier, Jackie",Representative,Democratic,614
California,6,5,"Thompson, Mike",Representative,Democratic,605
California,6,2,"Huffman, Jared",Representative,Democratic,602
Florida,12,11,"Webster, Daniel",Representative,Republican,1211
Georgia,13,12,"Allen, Rick W.",Representative,Republican,1312
Illinois,17,4,"Gutierrez, Luis V.",Representative,Democratic,1704
Illinois,17,0,"Durbin, Richard",Senator,Democratic,1700
Indiana,18,3,"Stutzman, Marlin A.",Representative,Republican,1803
Indiana,18,4,"Rokita, Todd",Representative,Republican,1804
Indiana,18,2,"Walorski, Jackie",Representative,Republican,1802
Massachusetts,25,0,"Markey, Edward J.",Senator,Democratic,2500
Michigan,26,6,"Upton, Fred",Representative,Republican,2606
Michigan,26,4,"Moolenaar, John R.",Representative,Republican,2604
Missouri,29,1,"Clay, Wm. Lacy",Representative,Democratic,2901
New Jersey,34,2,"LoBiondo, Frank A.",Representative,Republican,3402
New Jersey,34,5,"Gottheimer, Josh",Representative,Democratic,3405
New Mexico,35,0,"Heinrich, Martin",Senator,Democratic,3500
Ohio,39,9,"Kaptur, Marcy",Representative,Democratic,3909
Pennsylvania,42,0,"Toomey, Pat",Senator,Republican,4200
Pennsylvania,42,3,"Kelly, Mike",Representative,Republican,4203
Washington,53,4,"Newhouse, Dan",Representative,Republican,5304
Wisconsin,55,0,"Johnson, Ron",Senator,Republican,5500
Wisconsin,55,7,"Duffy, Sean P.",Representative,Republican,5507
Arizona,4,4,"Gosar, Paul A.",Representative,Republican,404
California,6,35,"Torres, Norma J.",Representative,Democratic,635
California,6,47,"Lowenthal, Alan S.",Representative,Democratic,647
California,6,11,"DeSaulnier, Mark",Representative,Democratic,611
Colorado,8,5,"Lamborn, Doug",Representative,Republican,805
Colorado,8,4,"Buck, Ken",Representative,Republican,804
Florida,12,2,"Dunn, Neal",Representative,Republican,1202
Florida,12,25,"Diaz-Balart, Mario",Representative,Republican,1225
Georgia,13,6,"Price, Tom",Representative,Republican,1306
Illinois,17,15,"Shimkus, John",Representative,Republican,1715
Indiana,18,8,"Bucshon, Larry",Representative,Republican,1808
Iowa,19,1,"Blum, Rod",Representative,Republican,1901
Iowa,19,2,"Loebsack, David",Representative,Democratic,1902
Massachusetts,25,2,"McGovern, James P.",Representative,Democratic,2502
Michigan,26,12,"Dingell, Debbie",Representative,Democratic,2612
New Mexico,35,1,"Lujan Grisham, Michelle",Representative,Democratic,3501
New York,36,14,"Crowley, Joseph",Representative,Democratic,3614
New York,36,8,"Jeffries, Hakeem S.",Representative,Democratic,3608
North Carolina,37,12,"Adams, Alma S.",Representative,Democratic,3712
Oklahoma,40,5,"Russell, Steve",Representative,Republican,4005
Tennessee,47,7,"Blackburn, Marsha",Representative,Republican,4707
Texas,48,7,"Culberson, John Abney",Representative,Republican,4807
Texas,48,26,"Burgess, Michael C.",Representative,Republican,4826
Alabama,1,7,"Sewell, Terri A.",Representative,Democratic,107
California,6,1,"LaMalfa, Doug",Representative,Republican,601
California,6,17,"Khanna, Ro",Representative,Democratic,617
Florida,12,17,"Rooney, Thomas J.",Representative,Republican,1217
Florida,12,24,"Wilson, Frederica S.",Representative,Democratic,1224
Florida,12,27,"Ros-Lehtinen, Ileana",Representative,Republican,1227
Hawaii,15,0,"Hirono, Mazie K.",Senator,Democratic,1500
Illinois,17,7,"Davis, Danny K.",Representative,Democratic,1707
Minnesota,27,3,"Paulsen, Erik",Representative,Republican,2703
New York,36,13,"Espaillat, Adriano",Representative,Democratic,3613
North Carolina,37,0,"Burr, Richard",Senator,Republican,3700
Utah,49,0,"Lee, Mike",Senator,Republican,4900
Washington,53,8,"Reichert, David G.",Representative,Republican,5308
Washington,53,3,"Herrera Beutler, Jaime",Representative,Republican,5303
Wisconsin,55,4,"Moore, Gwen",Representative,Democratic,5504
Wyoming,56,0,"Cheney, Liz",Representative,Republican,5600
American Samoa,60,0,"Radewagen, Aumua Amata Coleman",Representative,Republican,6000
California,6,28,"Schiff, Adam B.",Representative,Democratic,628
Georgia,13,9,"Collins, Doug",Representative,Republican,1309
Georgia,13,0,"Isakson, Johnny",Senator,Republican,1300
Illinois,17,2,"Kelly, Robin L.",Representative,Democratic,1702
Illinois,17,18,"LaHood, Darin",Representative,Republican,1718
Indiana,18,1,"Visclosky, Peter J.",Representative,Democratic,1801
Louisiana,22,5,"Abraham, Ralph Lee",Representative,Republican,2205
Massachusetts,25,0,"Warren, Elizabeth",Senator,Democratic,2500
Minnesota,27,4,"McCollum, Betty",Representative,Democratic,2704
New Jersey,34,1,"Norcross, Donald",Representative,Democratic,3401
New Jersey,34,11,"Frelinghuysen, Rodney P.",Representative,Republican,3411
New York,36,7,"Velazquez, Nydia M.",Representative,Democratic,3607
Ohio,39,11,"Fudge, Marcia L.",Representative,Democratic,3911
Pennsylvania,42,7,"Meehan, Patrick",Representative,Republican,4207
Pennsylvania,42,18,"Murphy, Tim",Representative,Republican,4218
Tennessee,47,2,"Duncan, John J., Jr.",Representative,Republican,4702
Texas,48,10,"McCaul, Michael T.",Representative,Republican,4810
Alaska,2,0,"Sullivan, Dan",Senator,Republican,200
California,6,43,"Waters, Maxine",Representative,Democratic,643
Florida,12,1,"Gaetz, Matt",Representative,Republican,1201
Florida,12,15,"Ross, Dennis A.",Representative,Republican,1215
Illinois,17,3,"Lipinski, Daniel",Representative,Democratic,1703
Indiana,18,0,"Donnelly, Joe",Senator,Democratic,1800
Iowa,19,0,"Grassley, Chuck",Senator,Republican,1900
Kentucky,21,0,"McConnell, Mitch",Senator,Republican,2100
Missouri,29,0,"Blunt, Roy",Senator,Republican,2900
Missouri,29,8,"Smith, Jason",Representative,Republican,2908
New York,36,23,"Reed, Tom",Representative,Republican,3623
North Carolina,37,8,"Hudson, Richard",Representative,Republican,3708
South Carolina,45,6,"Clyburn, James E.",Representative,Democratic,4506
Tennessee,47,3,"Fleischmann, Charles J. &#34;Chuck&#34;",Representative,Republican,4703
Texas,48,11,"Conaway, K. Michael",Representative,Republican,4811
Texas,48,32,"Sessions, Pete",Representative,Republican,4832
Alaska,2,0,"Young, Don",Representative,Republican,200
California,6,19,"Lofgren, Zoe",Representative,Democratic,619
California,6,29,"Cardenas, Tony",Representative,Democratic,629
Florida,12,18,"Mast, Brian",Representative,Republican,1218
Florida,12,16,"Buchanan, Vern",Representative,Republican,1216
Florida,12,0,"Rubio, Marco",Senator,Republican,1200
Florida,12,10,"Demings, Val",Representative,Democratic,1210
Georgia,13,8,"Scott, Austin",Representative,Republican,1308
Idaho,16,2,"Simpson, Michael K.",Representative,Republican,1602
Kansas,20,1,"Marshall, Roger",Representative,Republican,2001
Kentucky,21,3,"Yarmuth, John A.",Representative,Democratic,2103
New Jersey,34,7,"Lance, Leonard",Representative,Republican,3407
North Dakota,38,0,"Cramer, Kevin",Representative,Republican,3800
Ohio,39,15,"Stivers, Steve",Representative,Republican,3915
Oklahoma,40,0,"Inhofe, James M.",Senator,Republican,4000
Texas,48,15,"Gonzalez, Vicente",Representative,Democratic,4815
Utah,49,2,"Stewart, Chris",Representative,Republican,4902
Virginia,51,8,"Beyer, Donald S., Jr.",Representative,Democratic,5108
Washington,53,0,"Cantwell, Maria",Senator,Democratic,5300
Washington,53,9,"Smith, Adam",Representative,Democratic,5309
West Virginia,54,1,"McKinley, David B.",Representative,Republican,5401
